Date;Time;B;C
08/29/2017;00:05:00;2428.25;2428.00
08/29/2017;00:10:00;2428.50;2428.25
08/29/2017;00:15:00;2429.00;2428.50
08/29/2017;00:20:00;2429.50;2428.75
08/29/2017;00:25:00;2429.25;2428.75
08/29/2017;00:30:00;2429.25;2428.75
08/29/2017;00:35:00;2429.00;2428.75
08/29/2017;00:40:00;2429.00;2428.50
08/29/2017;00:45:00;2428.75;2428.25
08/29/2017;00:50:00;2429.25;2428.50
08/29/2017;00:55:00;2429.75;2429.00
08/29/2017;01:00:00;2429.50;2428.75
08/29/2017;01:05:00;2430.25;2429.25
08/29/2017;01:10:00;2430.25;2429.75
